Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.194836215789225,0.0393877097299235,0.457269216278777,0,0,0,23.8752202305694,0.738998392804084,-0.184905778450458,-0.371970644232162,1.67754114297973,-0.226349002733928,1.11973556245517,0,0,0,0,0,0,package://FWMRASSEMBLY/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://FWMRASSEMBLY/meshes/base_link.STL,,base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Front_left_wheel,-2.4980018054066E-16,1.11022302462516E-16,0.0299999999999992,0,0,0,32.342003157065,1.21649490313459,-1.33171251803788E-13,2.01325067727964E-13,1.72107635287551,-2.60902410786912E-14,2.86711843222717,0,0,0,0,0,0,package://FWMRASSEMBLY/meshes/Front_left_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://FWMRASSEMBLY/meshes/Front_left_wheel.STL,,,Coordinate System1,Axis1,Front_left_joint,revolute,0,0,0,0,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
Front_right_wheel,-2.4980018054066E-16,1.11022302462516E-16,0.0299999999999992,0,0,0,32.342003157065,1.21649490313459,-1.32893696047631E-13,2.01394456667003E-13,1.72107635287551,-2.6256774532385E-14,2.86711843222717,0,0,0,0,0,0,package://FWMRASSEMBLY/meshes/Front_right_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://FWMRASSEMBLY/meshes/Front_right_wheel.STL,,,Coordinate System1,Axis2,Front_right_joint,revolute,0,0,0,0,0,0,base_link,0,-1,0,0,0,0,0,,,,,,,,
Rear_left_wheel,-1.38777878078145E-16,-5.55111512312578E-17,0.0299999999999992,0,0,0,32.342003157065,1.21649490313459,-1.33171251803788E-13,2.01325067727964E-13,1.72107635287551,-2.60902410786912E-14,2.86711843222717,0,0,0,0,0,0,package://FWMRASSEMBLY/meshes/Rear_left_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://FWMRASSEMBLY/meshes/Rear_left_wheel.STL,,,Coordinate System1,Axis3,Rear_left_joint,revolute,0,0,0,0,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
Rear_right_wheel,-2.4980018054066E-16,1.11022302462516E-16,0.0299999999999992,0,0,0,32.342003157065,1.21649490313459,-1.33171251803788E-13,2.01325067727964E-13,1.72107635287551,-2.60902410786912E-14,2.86711843222717,0,0,0,0,0,0,package://FWMRASSEMBLY/meshes/Rear_right_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://FWMRASSEMBLY/meshes/Rear_right_wheel.STL,,,Coordinate System1,Axis4,Rear_right_joint,revolute,0,0,0,0,0,0,base_link,0,-1,0,30,30,0,0,,,,,,,,
